t2,y2,t2,y2;
215053.75049999985,-10.078125,215173.7365,3.8664407155499703;
215053.81299999985,5.921875,215173.799,-7.13355928445003;
215053.87549999985,26.921875,215173.8615,-7.13355928445003;
215053.93799999985,-5.078125,215173.924,-18.13355928445003;
215054.00049999985,-4.078125,215173.9865,-8.13355928445003;
215054.06299999985,23.921875,215174.049,-11.13355928445003;
215054.12549999985,15.921875,215174.1115,-13.13355928445003;
215054.18799999985,1.921875,215174.174,-19.13355928445003;
215054.25049999985,3.921875,215174.2365,7.86644071554997;
215054.31299999985,12.921875,215174.299,1.8664407155499703;
215054.37549999985,-7.078125,215174.3615,-9.13355928445003;
215054.43799999985,2.921875,215174.424,-9.13355928445003;
215054.50049999985,-13.078125,215174.4865,-2.1335592844500297;
215054.56299999985,12.921875,215174.549,6.86644071554997;
215054.62549999985,25.921875,215174.6115,3.8664407155499703;
215054.68799999985,-20.078125,215174.674,8.86644071554997;
215054.75049999985,27.921875,215174.7365,-20.13355928445003;
215054.81299999985,23.921875,215174.799,-11.13355928445003;
215054.87549999985,-6.078125,215174.8615,15.86644071554997;
215054.93799999985,16.921875,215174.924,-2.1335592844500297;
215055.00049999985,27.921875,215174.9865,19.86644071554997;
215055.06299999985,-3.078125,215175.049,15.86644071554997;
215055.12549999985,18.921875,215175.1115,-3.1335592844500297;
215055.18799999985,24.921875,215175.174,0.8664407155499703;
215055.25049999985,-21.078125,215175.2365,37.86644071554997;
215055.31299999985,0.921875,215175.299,4.86644071554997;
215055.37549999985,12.921875,215175.3615,4.86644071554997;
215055.43799999985,-3.078125,215175.424,35.86644071554997;
215055.50049999985,27.921875,215175.4865,-12.13355928445003;
215055.56299999985,27.921875,215175.549,5.86644071554997;
215055.62549999985,-1.078125,215175.6115,4.86644071554997;
215055.68799999985,30.921875,215175.674,0.8664407155499703;
215055.75049999985,9.921875,215175.7365,11.86644071554997;
215055.81299999985,-19.078125,215175.799,16.86644071554997;
215055.87549999985,38.921875,215175.8615,0.8664407155499703;
215055.93799999985,17.921875,215175.924,7.86644071554997;
215056.00049999985,-2.078125,215175.9865,16.86644071554997;
215056.06299999985,15.921875,215176.049,6.86644071554997;
215056.12549999985,11.921875,215176.1115,29.86644071554997;
215056.18799999985,-7.078125,215176.174,17.86644071554997;
